datetime,tweet_id,text,user_id,location
20200308,1.2368E+18,Trump 'not concerned' as coronavirus cases rise in DC area https://t.co/p6JKTUNtS3 via @YahooNews,8.57647E+17,Sacramento.
20200308,1.2368E+18,"Virginia's second case of coronavirus announced in city of Fairfax
https://t.co/Do9japGlgz",17136814,"Charlottesville, Virginia"
20200308,1.2368E+18,FOX NEWS: Italy tops South Korea with the coronavirus https://t.co/hFWqkb8ESn https://t.co/mT5umLqy5G,141627342,"Montero, Bolivia"
20200308,1.2368E+18,"Go ahead, Mr Trump. Hold those rallies. That virus won’t spread around at all! #coronavirus #TrumpRally",479592423,NC
20200308,1.2368E+18,"Educators, add your favorite 4 - 6th grade math videos to the playlist on You Tube's #OperationTeacherRelief channel to help teachers of schools closed due to #coronavirus. This link gives you collaborator access! https://t.co/ugqxxlMA2o",435528847,"Mansfield, TX"
20200308,1.2368E+18,"Indictment of a society encouraged to live by an ethic of plunder: interested only in the present and the self. ""There is no such thing as society"", said Mrs Thatcher, I suppose she also forgot about civilisation. #coronavirus #COVID19 #panicbuyers #ToiletPaperApocalypse",1.22078E+18,London
20200308,1.2368E+18,"Modena prison death toll amid coronavirus crisis climbs to three, Corriere reports. That prison hosted 562 inmates vs a design capacity of 369 in Feb, or 1.5 times its intended limit. Reports of guards taken hostage in Pavia, 1.4x design capacity. https://t.co/IXNLAQoBPl",11414212,
20200308,1.2368E+18,@SteasyMoney @secret_index @footballindexsd I disagree. Alternative places to invest money such as the stock market are being affected even more by coronavirus. Most stocks are down massively. I could see people piling money into FI instead for that reason,1.21722E+18,
20200308,1.2368E+18,"The number of coronavirus cases in the United States topped 500 on Sunday as federal, state and local officials throughout the country tried to reassure citizens of public health plans to deal with the ongoing outbreak. https://t.co/gu7JGoh14g",17134268,United States
20200308,1.2368E+18,ODEM helps fight Coronavirus by offering its Blockchain Education and Credentialing platform for free https://t.co/qySBSgkEpw,1.20506E+18,
20200308,1.2368E+18,@TitaniumArtNerd Good to know! I currently have two bottles of white wine (and my husband has two bottles of red) in our coronavirus emergency stash (if we have to be quarantined).,255519027,"Kentucky, ya’ll"
20200308,1.2368E+18,"The fact that South America and Australia are beginning their own COVID-19 ramp-up suggests that warmer temperatures may not, in fact, save us.",8.24447E+17,USA
20200308,1.2368E+18,Live: Ministry of Health update on Covid-19 https://t.co/wCI1kN0Mrn,7025472,New Zealand
20200308,1.2368E+18,@realDonaldTrump Please tell me how the Coronavirus is effecting you only.,1.1727E+18,
20200308,1.2368E+18,"75-80 a day in #NYS is still not enough. But, it’s something. #COVID19 #coronavirus is spreading. Unchecked in most areas of the #USA. https://t.co/VvyQoLixri",1.22213E+18,Buffalo NY United States
20200308,1.2368E+18,"Folks, this is a vid we have to see. Parts of it will make you horrified, because there is some animal cruelty, but there is a message we have to hear. It's about Covid 19. https://t.co/L1skTcLC0f",1.03842E+18,Canada
20200308,1.2368E+18,"People sit here and talk about how Coronavirus is “not that bad” and “the Democrats are using it as a weapon against Trump,” but now their kids school is closed for two weeks following a confirmed case and all of the sudden it’s an issue.",238850898,
20200308,1.2368E+18,"Spurs coach Gregg Popovich unleashed a scathing commentary on President Donald Trump, taking the spurs to him in calling him everything from a demagogue to a coward. 😷 #coronavirus #outbreak #nba https://t.co/GzGiYjpdwS",1.01891E+18,
20200308,1.2368E+18,"Dow futures tumble 1,000 points as all-out oil price war adds to coronavirus stress https://t.co/wFj9YzFlVN via @nbcnews",478189025,NYC 🍎🗽❣️
20200308,1.2368E+18,"I wonder how the anti-vaxers feel about a Coronavirus vaccine? The anti-science stance really seems to be working out right now, as they fall off the edge of the flat earth",598294615,"East Midlands, UK"
20200308,1.2368E+18,"@BillPascrell @SpeakerPelosi Thank goodness that there are Representatives willing to make these decisive moves. As you already know, poor Ted Cruz has had to admit that the CoVid-19 might not be a hoax after all. @SenTedCruz #LyinTedCruz https://t.co/2mU46HtVOq",57826413,PNW
20200308,1.2368E+18,"oh. dont touch MEN to avoid COvid-19. Mouth, Eyes, and Nose hehehe",62701932,"Las Piñas, Philippines 1743"
20200308,1.2368E+18,@piersmorgan That’s c.10% mortality rate for SARS whereas the #coronavirus is 3-4%. The media hype and scaremongering is far more damaging. 🤨,69984210,Ireland
20200308,1.2368E+18,"Biochemistry time! This is a rendering of a Coronavirus spike protein. Note that Coronaviruses are a whole subset of viruses, and this protein is from a similar (but not the same) virus to the one making the news. https://t.co/TuEJCksJSW",1.03204E+18,
20200308,1.2368E+18,The tag team Elimination Chamber pods break pretty much every Coronavirus precaution. https://t.co/Tvc66XfCXZ,63872958,New York
20200308,1.2368E+18,there are 3 suspected cases of coronavirus in my state https://t.co/WS8Yt6pTPv,2234794308,she/her | 22
20200308,1.2368E+18,"@spectatorindex as if covid pandemic, imminent migrant crisis and ongoing war in syria are not enough",2372227220,
20200308,1.2368E+18,"#nicejewishmama
#coronavirus 
A conservative with the Coronavirus and attended a large meeting has tested positive",1537644018,United States
20200308,1.2368E+18,People have asked my thoughts on #coronavirus #COVID19 so here goes (thread).,36134224,"Miami, FL"
20200308,1.2368E+18,U.S. response to the COVID-19 coronavirus moves from “containment” to “mitigation” https://t.co/UcQhCogGI2 https://t.co/5O3YFvYpIc,15844371,"CA 91436, USA"
20200308,1.2368E+18,U.S. response to the COVID-19 #coronavirus moves from “containment” to “mitigation” https://t.co/zOq3BsqHnJ https://t.co/swQdcpsTOJ,61775276,"Toronto, Ontario"
20200308,1.2368E+18,"#Stock_market_news Citigroup splits Buffalo, NY, trading staff as coronavirus precaution https://t.co/3a5k3UU4HY https://t.co/U3dJgzsdcR https://t.co/H3F8arN38E",1.1998E+18,Trading Strategies
20200308,1.2368E+18,"Tourism:  UK ##hotels, Restaurants Ask Government for Emergency Coronavirus Help https://t.co/v8uGDvC2LC https://t.co/jVtssaAiq2",338750876,"Vilnius, Lithuania"
20200308,1.2368E+18,NY AG hits Jim Bakker with cease-and-desist order over alleged coronavirus cure - ABC News https://t.co/KdBTk2sR9V (via @ABC),9.01242E+17,
20200308,1.2368E+18,Coronavirus got grown ass people fighting over toilet paper.. lol,2937949026,
20200308,1.2368E+18,"Parents are struggling to cope as coronavirus worries shut down schools, leaving kids scared and confused https://t.co/uYVbBtjnUM",15501305,"Croton-on-Hudson, NY"
20200308,1.2368E+18,"Just watch this one George Webb video and post it everywhere.

I'm starting to think that the Coronavirus maybe a hoax story to divert you from the bombshells explained in this video.

https://t.co/NjdsccPXxg",16190478,Republic of House
20200308,1.2368E+18,"Statistically speaking, I would love to see a graph comparing U.S. gun deaths and U.S. COVID-19 deaths.",17984533,Arlington MA
20200308,1.2368E+18,"Saudi Arabia postpones the #SaudiGames due to run from March 23 to April 1, the Kingdom’s largest sporting event, until further notice over #coronavirus fears, according to the organizing committee.

#COVID_19

https://t.co/8x0ODPqnzp",22240612,Dubai
20200308,1.2368E+18,"@annabelcrabb “banning gatherings of more than 1,000 people in a bit to limit the spread of coronavirus”
ABC making the same mistake today, ‘excellent control of detail.’
Get off your high horse🐴

https://t.co/NrhxfCpxbp",8.22702E+17,
20200308,1.2368E+18,@JesseH_Official @TooSoonJunes @ahoypolloi @TMZ Disease can change rapidly part of the issue hear in USA is not enough testing kits and also false negatives people have been tested and told relax you do not have coronavirus week later they test positive,8.16052E+17,"Sun Prairie, WI"
20200308,1.2368E+18,"People who buy mass quantities of these much needed items - out of panic, mind you - are taking it from those who need them. The people who could actually lose their life if they get sick from something like the coronavirus or other viruses going around.",169180553,
20200308,1.2368E+18,@DebbieAAldrich @HawleyMO bill does not bring manufacturing to US nor reduce dependence on China. Americans hospitalized w/ #coronavirus #CoronavirusUSA may get secondary bacterial infections&amp;US depends on China for many antibiotics @CDCgov @PHEgov @c5hardtop1999 @CreatDestMedia,25342288,
20200308,1.2368E+18,Coronavirus UK: Intensive care wards often full – patients could spill into CORRIDORS | UK | News – NEWPAPER24 https://t.co/mPgbjqz5if https://t.co/0Djy8f2YdY,9.32746E+17,"München, Bayern"
20200308,1.2368E+18,Coronavirus live updates: stock markets plunge on global recession fears https://t.co/yyJHXqEKsZ,17908607,drakes bay
20200308,1.2368E+18,The @ABCNewsHealth Med Unit will be back with @DrJAshton tomorrow morning on @GMA to answer your #coronavirus #COVID19 questions 🦠😷🔬 Send us your questions with #AskGMA https://t.co/vkRfLajMYK,1.23555E+18,"Honolulu, HI"
20200308,1.2368E+18,@thedailybeast Hey @tedcruz I thought COVID-19 was just a hoax? Why so scared?,1.18928E+18,
20200308,1.2368E+18,@tedcruz Dont you have the Coronavirus? Get some rest.,521755913,
20200308,1.2368E+18,Three presumptive positive COVID-19 cases announced in Iowa https://t.co/4eNjZ9iF9d,206319901,Global
20200308,1.2368E+18,"This is why trump is going to let people die from the coronavirus. He could care less about our lives. He’s not testing, he’s not even giving tests to states. He doesn’t want the number of deaths to go up but it will. Way up",87255945,New Yorker in So Fla
20200308,1.2368E+18,"Update from #UNMC
The clinical trial they're referring to is for the anti viral drug #Remdesivir which was used on the 1st confirmed #coronavirus case in the U.S. 
[he made a full recovery]

#covid19 #Biocontainment #Omaha https://t.co/0CrYggSLt6",129877411,#TheResistance #Democracy #Truth #Foster #Adopt  No pet left behind 🐾
20200308,1.2368E+18,Answer to What type of #crisis would it take for the whole world to #unite? #virus #COVID19 #COVID2019 #COVID #coronavirus https://t.co/xpvt3WRQye,165340068,NewZealand
20200308,1.2368E+18,trump is totally going to get coronavirus,1.15769E+18,"Queens, NY"
20200308,1.2368E+18,"Boris Johnson British Prime Minister　""Prime Minister Abe"" is referred to on the net as the head of the Japanese branch of the CCP. Following the spread of the new coronavirus, Prime Minister Abe voluntarily  - Japan's Justice in the Dark https://t.co/ATIMB2XbaE #はてなブログ",1544829853,
20200308,1.2368E+18,"@BossRobinVos Then @ScottWalker &amp; his spouse #TonetteWalker need to be tested for COVID-19, what say you @BadgerStew ?",2513009136,"Wisconsin, USA"
20200308,1.2368E+18,COVID 19 might do for CO2 emissions what all the king's horses and all the king's men couldn't do voluntarily. https://t.co/NqiI5f9JFS,7.86635E+17,Wit's End
20200308,1.2368E+18,"@matthewstoller They will in about 8 weeks once all the ICUs are full...  

Unfortunately, we can say hello to President Biden...  

Unless Trump pulls his thumb out of his butt and starts a massive attack on coronavirus.",3257007494,"Kent, OH"
20200308,1.2368E+18,@politvidchannel He lies to the public about Coronavirus.That spring will get rid of it.Then Democrats are creating a hoax.Then he worries more for his Stock Market Instead of https://t.co/dmncHSBdcd he’s afraid of his rallies being affected.Way over his head. Real problems need real solutions,933220099,"Las Cruces, NM"
20200308,1.2368E+18,#Coronavirus may force Americans to avoid crowds and cancel cruises: U.S. health official https://t.co/Uk71l1JlOL,28585986,"ÜT: 50.953278,-113.978785"
20200308,1.2368E+18,"""Zhang Weili describes journey from China to United States for #UFC248"" *forced to travel due to travel restrictions related to #coronavirus https://t.co/6v0FgCoAgI",614547856,
20200308,1.2368E+18,WHITE HOUSE OFFICIALS BELIEVE U.S CORONAVIRUS CASES TO DOUBLE IN THE NEXT 48 HOURS --  WP,8.65625E+17,New York City
20200308,1.2368E+18,Global: the coronavirus outbreak may show up another massive instance of health inequity - where only those in wealthy countries with robust health systems survive | Prof Gabriel Leung | Hong Kong University | March 2020 https://t.co/87yDAZVf2C,181396285,K J Hyett | Sydney | Australia
20200308,1.2368E+18,US Christian Prophet Cindy Jacobs Declares Coronavirus ‘Illegal’ Because of Jesus - All sorted then!! https://t.co/SYA2MYaxXV via @Shareaholic,34687594,"Truro, Cornwall"
20200308,1.2368E+18,@cap_zay I’m telling you we have been seeing this in my facility since the turn of the year. I for one never thought for a second it was covid-19 bc it wasn’t in the US “yet” bc there were no confined cases. I bet a majority who are freaking out about it HAD IT and was dx as a cold!,872689944,"Buffalo, NY"
20200308,1.2368E+18,Heard about this coronavirus situation... scary stuff. Gonna make some calls and see what I can do.,393633136,
20200308,1.2368E+18,"I don’t subscribe to panic buying. I do subscribe to logical planning. If you’re not preparing for a few weeks at home then please do so. With the rate of community spread I don’t see a way around us not going into mandatory quaratine. This isn’t mean to scare you.

#coronavirus",1.2368E+18,
20200308,1.2368E+18,Coronavirus and these dudes still throwing pancakes into the crowd... yeah but y’all want me to avoid non-essential travel... she really tried to say celebrating my birthday wasn’t essential... lmao,1.22006E+18,Newport News VA
20200308,1.2368E+18,I want a t shirt that says " I survived the Coronavirus 2020",354556274,Outer Space
20200308,1.2368E+18,@YuYuHyper and she lied about having coronavirus to stay at the hospital for the night bc she got kicked out ...???????,90676632,atlanta
20200308,1.2368E+18,ASX down 5.5%=$140b loss: #Coronavirus live updates: stock markets plunge on global recession fears https://t.co/eAlMK5Iqo4,19042993,"North Vancouver, BC"
20200308,1.2368E+18,"Asian share markets were set for a beating on Monday as investors fled to bonds to hedge the economic shock of the coronavirus, and oil plunged more than 20% after Saudi Arabia slashed its official selling price.",39975040,
20200308,1.2368E+18,"Coronavirus: Italy quarantines 15 million people, France to hold defense meeting https://t.co/awhKJ6x2Re via @RFI_En",8.01335E+17,"Sacramento, CA"
20200308,1.2368E+18,Reverend is first Washington DC resident confirmed to have coronavirus https://t.co/4hhMCT9o68,2510654250,
20200308,1.2368E+18,Coronavirus fatality rate running at 4.25% in Italy. Coronavirus deaths near 200 after biggest daily jump https://t.co/xlFb522TJk,968249360,
20200308,1.2368E+18,Watch how they say that there is nothing to worry about sa COVID 19 but when it blows up and a lot of people wants to get tested they'll  say that they can't handle the large numbers of patients until we'll all fckng die na lang akxbajsnsnxnsnz,1.06344E+18,CEU-Mnl
20200308,1.2368E+18,Dr. Ben Carson Brilliantly Turns Tables on Dems Attacking Mike Pence&amp;#8217;s Coronavirus Response https://t.co/jF5FahSWdC,736106172,"Alabama, USA"
20200308,1.2368E+18,@emma_gear hope you're not in USA. almost impossible to get COVID-19 test.,244459746,SF Bay Area
20200308,1.2368E+18,"Man all the stores ran out of hand sanitizer, mask and lysol! The struggle of this dam coronavirus!",20296399,
20200308,1.2368E+18,WHITE HOUSE OFFICIALS BELIEVE U.S CORONAVIRUS CASES TO DOUBLE IN THE NEXT 48 HOURS --  WP,65616414,Germany
20200308,1.2368E+18,It’s weird that some man waited til coronavirus came along for them to be hygienic 🤢🤢🤢,1.09874E+18,Konoha🍃
20200308,1.2368E+18,"@BTaylorCFC Bro I'm hearing from cuzs in UK that if covid-19 doesn't stop spreading, in next few weeks epl is gonna play all games behind close doors, it's real",478914619,"Mississauga, Ontario"
20200308,1.2368E+18,The stores being out of hand soap makes me wonder why people were not washing their hands before? 🤷‍♀️😅 #coronavirus,1.10814E+18,"North London, Global"
20200308,1.2368E+18,"Gates Foundation to help provide COVID-19 tests in Seattle area, the U.S.'s hotbed.
https://t.co/3Wdyz2JzfJ",9.27646E+17,"Chicago, IL"
20200308,1.2368E+18,"E.R. doctor SOUNDS THE ALARM on Trump's coronavirus response https://t.co/gPFy88hqWL BREAKING:  An E.R. doctor in New York City just SOUNDED THE ALARM on Trump's response to the coronavirus, and the outlook is GRIM... We need a REAL president!

Follow Occupy Democrats for more! https://t.co/2KAdNIE4Cl",8.42632E+17,
20200308,1.2368E+18,"Australians have been warned to expect far less choice at supermarkets as the coronavirus outbreak sets in, but Industry Minister Karen Andrews says manufacturers are well placed to deal with disruptions to the supply chain https://t.co/dzY12zZqBQ #auspol @australian",75961380,Canberra
20200308,1.2368E+18,Trump Knew For A Year Of The Possibility Of A Pandemic And Did Nothing! He Was Told Of COVID-19 In November! Nothing! Last Month He Said There Was Only 5 Americans Who Had It&amp;They We’re Getting Better&amp;It  Would End! If Not April! He’s Liable!  ☮️👍🏼😎 https://t.co/rsQAUwuXAv,29215825,"Bohn Beach, FL"
20200308,1.2368E+18,"@SpeakerPelosi @SenSchumer You held up the coronavirus response funding bill for a week to prioritize Super Tuesday campaigning.

Maybe you shouldn’t be accusing others of not prioritizing correctly.",7.99313E+17,
20200308,1.2368E+18,West New York got a Coronavirus case... bout to be at work like https://t.co/rZZZmvmYZX,2175910187,
20200308,1.2368E+18,#Australian visitor in #Aspen confirmed to have #coronavirus after returning home https://t.co/qbxVTtJmwI,547382596,"Perth, Western Australia"
20200308,1.2368E+18,"In order to contain spread of #CoronaVirus, #Italy has placed around 16 million people under quarantine.",3038498251,زرد پتوں کا بن جو میرا دیس ہے
20200308,1.2368E+18,Not being able to order groceries because of this coronavirus pandemic https://t.co/ln4Sdg6uDm,73267757,Los Angeles
20200308,1.2368E+18,@LeCreusetFiend We have a cruise ship docked on the coast of Northern California with 21 confirmedcases of coronavirus(1000's to be tested).  Tomorrow it is to dock in Oakland.  I'm in Coastal Southern California. I'm curious. Not YET worried. Famous last words....,1.17153E+18,"Ventura, Ca"
20200308,1.2368E+18,"Despite #coronavirus risk, 2020 hopefuls @JoeBiden @BernieSanders @realDonaldTrump keep up campaigns— for now
via @APNews https://t.co/k9sbqomvYl #FlaPol https://t.co/dq4Z2DPJIy",2811924896,"Based in Tampa Bay, Florida."
20200308,1.2368E+18,The Trump Administration’s Sunday Morning Coronavirus Messaging Was a Disaster https://t.co/OVkSFS0KXR via @MotherJones,17324167,"Montague, california"
20200308,1.2368E+18,Other people are freaking out about the coronavirus meanwhile Kenny and I are stoked flight prices are dropping,1.17768E+18,
20200308,1.2368E+18,"Coronavirus 'could kill 100,000 Brits' as ministers prepare for huge death toll

Tories have killed 120,000+ with austerity, so why would they give a shit about this, unless there's a chance rich people could die too!
#CrookedConservatism 
#ToryVirus

 https://t.co/cobcghoYWC",241502713,"Yorkshire, UK"
20200308,1.2368E+18,"Kofi needs a more sanitary way of passing out his pancakes, can’t risk coronavirus #WWEChamber",1.02846E+18,Cheap Seats
20200308,1.2368E+18,Asian Student Assaulted in Racist Coronavirus Attack - https://t.co/sDBRJVILRI,72857017,
20200308,1.2368E+18,"Dow futures drop 1,000 points as all-out oil price war adds to coronavirus stress https://t.co/Yjb3L8BKtJ",2751171144,"Mount Lebanon, PA"
